series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Protein (g/person/day),123.44397,120.85021,127.485085,129.55667,127.57693,129.32388,133.3726,135.1311,130.54515,132.32344,129.20784,131.12885,131.76581,129.97815,136.98209,140.07666,139.2379,140.73758,138.74297,135.5511,131.8217
Protein (g/person/day),55.681934,55.12696,53.27097,53.171383,52.781548,52.382225,54.52296,56.4986,56.79916,56.100773,58.52971,58.91445,58.944527,60.77177,61.417934,60.98815,62.751087,64.363846,63.995926,65.4306,66.451126
Protein (g/person/day),51.387463,51.178402,52.051064,52.27756,52.9389,52.606644,54.02033,55.17193,55.721382,57.099854,57.550694,59.458805,59.952724,61.301903,62.997948,63.71517,65.11677,70.37046,69.04584,70.03985,69.25172
Protein (g/person/day),82.73017,82.907104,81.923706,82.91161,83.577866,84.35322,82.68196,83.81425,80.98727,84.137985,82.625595,79.42247,82.198265,82.429344,83.732445,81.70607,82.557,80.69779,78.99342,78.609215,80.91364
Protein (g/person/day),50.358406,51.4048,53.224518,52.42095,52.785107,51.713413,53.17532,57.059048,57.96681,61.572704,52.27673,52.2472,51.92025,52.18628,52.59572,49.35699,50.11604,53.34575,53.292095,51.917477,52.263817
Protein (g/person/day),117.411705,121.633514,117.890305,118.41384,118.52757,114.03874,113.95247,109.8477,109.76785,109.38274,110.31304,107.74773,106.00524,110.884735,106.52132,113.972786,110.91256,115.00366,116.86397,115.51986,115.245514
Protein (g/person/day),118.24572,121.27369,124.089096,121.854126,126.32036,126.8154,128.66876,127.13627,128.80849,126.05754,124.17685,124.9849,123.52148,126.47612,126.61122,122.12418,124.02503,124.59377,127.46726,126.42605,124.15751
Protein (g/person/day),113.9692,114.06883,113.89931,112.55128,112.746254,112.26337,112.10986,112.06287,111.80332,113.245804,112.99203,111.25801,110.36959,109.76918,106.01304,105.15905,104.528,105.80836,106.50681,107.793594,107.39746
Protein (g/person/day),69.77382,73.404884,73.22647,74.10706,76.17638,76.17576,77.26175,80.33106,76.59471,76.64323,76.882,77.149376,76.09027,76.806786,75.03074,75.50137,73.94869,75.98959,79.90288,80.93222,78.563805
Protein (g/person/day),95.60196,95.83942,93.60943,93.6558,91.13424,91.797646,89.61992,90.11362,88.60206,86.5408,87.45703,87.023026,87.93049,87.714134,87.573,86.73749,86.21904,87.33575,88.18593,88.65681,89.18857
Protein (g/person/day),68.400734,68.86391,68.65368,76.04215,72.388824,72.91277,71.61163,70.81512,74.10049,74.74074,77.48913,80.49945,80.8342,80.73036,75.4682,70.920845,69.4834,66.84693,63.87782,60.44765,58.602497
Protein (g/person/day),84.63619,83.95491,84.531235,87.24414,86.01192,86.5858,89.06535,90.089775,91.00585,91.138855,91.74826,92.27768,92.04219,93.454994,92.3657,93.36774,96.04653,99.62606,102.46021,103.03349,104.01799
Protein (g/person/day),58.490276,56.977573,58.24033,56.248745,56.469975,60.91295,60.483128,58.8957,57.25877,59.15867,60.539043,64.51106,64.14278,62.78359,64.10163,65.473755,64.05122,62.4221,62.953552,63.097286,60.59201
