series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fat (g/person/day),83.69303,88.754555,87.70503,89.53855,91.63235,90.43854,95.8134,95.64094,92.102684,94.87075,105.01258,105.874115,105.42689,102.155106,93.80007,91.88551,96.22649,99.272644,109.025375,108.504944,104.06434
Fat (g/person/day),32.335075,32.955803,32.999866,31.509712,32.242474,33.281322,34.623455,33.24312,31.828518,32.506725,33.81676,35.591705,35.039265,33.18486,50.693485,48.925415,45.073853,44.169994,50.253727,39.20708,42.48188
Fat (g/person/day),50.5136,50.4015,51.815422,55.347897,58.45809,58.685936,57.337513,54.573944,55.611042,55.91971,55.152115,53.503662,60.45861,55.56448,57.526714,57.51519,55.226,53.46399,50.20658,44.24062,44.7255
Fat (g/person/day),,,,,,,,,,,90.11553,96.23683,102.03447,90.41954,78.124756,92.18261,90.050095,93.10828,101.84824,102.41875,101.603806
Fat (g/person/day),73.30989,82.024666,87.544075,91.33116,92.41581,98.224075,98.77042,100.56191,100.0396,96.50829,95.70454,96.76617,90.93865,92.058525,94.23107,96.27698,96.215904,99.58889,102.11119,118.053314,121.120705
Fat (g/person/day),144.64142,152.26604,150.31001,150.84174,153.76756,149.69522,144.64287,143.89796,145.66856,143.84581,140.59601,137.10359,138.62502,138.5147,137.72325,139.2469,139.04416,140.96846,142.69391,148.30609,141.50064
Fat (g/person/day),107.21383,106.89446,108.384674,110.78575,113.46239,118.70773,115.47851,120.33794,120.16135,120.64063,138.43213,144.24074,146.70604,147.7161,146.38599,148.19986,149.33398,146.85977,148.83643,143.6829,131.26273
Fat (g/person/day),26.234495,25.097805,24.804607,25.60824,25.24672,26.122768,27.96128,27.10487,26.966192,25.138233,25.67707,23.79875,22.730143,22.505367,21.35337,22.087725,23.037397,23.324055,23.24266,19.854912,21.9957
Fat (g/person/day),29.498732,32.214172,32.407192,32.369446,30.95832,31.533173,33.061253,35.129803,38.27293,40.206127,37.005886,38.91123,39.573833,41.03866,43.4783,44.890076,47.931087,50.091362,51.03738,53.12954,51.020943
Fat (g/person/day),87.51812,87.410995,87.816765,86.154655,87.83996,84.83561,83.1737,82.96794,82.959114,82.86612,87.4694,87.197426,87.79139,87.59102,88.723366,91.35229,88.41555,91.7027,98.7705,98.96399,104.33164
Fat (g/person/day),57.88157,58.80639,59.76739,56.88647,59.1737,57.09136,53.82302,57.0937,57.15361,56.68577,55.156246,52.83162,52.048683,54.23952,54.71606,56.04066,59.779907,51.10664,53.47816,59.554787,62.09709
Fat (g/person/day),47.282883,51.19266,51.944515,52.253838,52.755543,52.500134,54.2764,54.542908,56.21366,57.365314,58.309464,59.42034,57.744152,56.787395,56.903904,57.25736,55.114765,53.039722,51.48895,47.57895,49.052635
Fat (g/person/day),108.82399,111.534454,105.51188,106.076385,109.74471,107.16511,112.83837,111.17316,113.28313,112.665215,117.98282,114.752686,116.589165,114.05199,113.373085,108.98834,107.173615,111.13802,114.03873,110.46716,108.96194
Fat (g/person/day),67.02129,66.96993,70.49479,70.77267,72.44081,74.254196,74.990776,74.65659,76.89025,74.61365,73.027916,72.69996,84.43439,76.68744,72.79627,70.27294,69.10033,71.5958,70.17843,67.516136,66.13867
Fat (g/person/day),82.19461,80.9502,85.748764,81.746666,81.86741,83.90386,85.43596,84.46731,84.75832,82.98443,87.20996,88.22482,89.486595,89.718,90.68683,89.46271,88.668076,93.74982,92.086876,94.17595,94.6603
Fat (g/person/day),88.258484,89.92568,92.16474,91.66305,94.03337,95.47057,93.57524,95.53869,95.44636,94.1034,97.523964,98.251656,98.91037,98.797356,98.6406,100.24515,101.654976,102.58308,105.235596,107.7125,106.22769
Fat (g/person/day),,,,,,,,,,,,,,,,,,,,135.98923,135.40515
Fat (g/person/day),41.30598,40.549496,43.28189,49.713688,52.66695,57.16334,63.448418,71.85228,79.1237,84.604454,74.617386,79.17161,83.421394,88.77489,87.5887,89.55879,93.142456,93.27552,95.91429,95.74067,100.93897
